species,min_elev,max_elev
Conothraupis_speculigera,0,1950
Volatinia_jacarina,0,2600
Creurgops_dentatus,1200,2500
Creurgops_verticalis,1100,2800
Hemithraupis_guira,0,1500
Hemithraupis_ruficapilla,0,1500
Hemithraupis_flavicollis,0,1350
Heterospingus_rubrifrons,0,900
Heterospingus_xanthopygius,0,1100
Chrysothlypis_chrysomelas,350,1600
Chrysothlypis_salmoni,25,1200
Chlorophanes_spiza,0,2300
Iridophanes_pulcherrimus,1000,2000
Diglossa_gloriosa,3000,4150
Diglossa_humeralis,1850,4000
Diglossa_brunneiventris,2000,4300
Diglossa_carbonaria,2100,4300
Diglossa_albilatera,1200,3400
Diglossa_venezuelensis,885,2450
Diglossa_duidae,1400,2500
Diglossa_major,1400,2850
Diglossa_lafresnayii,2000,3800
Diglossa_gloriosissima,3000,3800
Diglossa_mystacalis,2400,4000
Diglossa_plumbea,1200,3000
Diglossa_baritula,1200,3350
Diglossa_sittoides,800,3500
Diglossa_indigotica,700,2200
Diglossa_cyanea,1400,3600
Diglossa_caerulescens,1300,3200
Diglossa_glauca,1000,2300
Catamenia_homochroa,1600,3500
Catamenia_inornata,2200,4400
Catamenia_analis,0,4650
Idiopsar_brachyurus,3900,4600
Diuca_speculifera,3800,5000
Phrygilus_erythronotus,3800,4500
Phrygilus_dorsalis,3300,4500
Xenodacnis_parina,3200,4600
Phrygilus_plebejus,0,4700
Phrygilus_unicolor,800,5000
Haplospiza_rustica,800,3600
Acanthidops_bairdii,1500,3100
Haplospiza_unicolor,0,1400
Sicalis_raimondii,200,2500
Sicalis_lutea,3500,4500
Sicalis_auriventris,800,4500
Sicalis_olivascens,1000,4500
Sicalis_luteocephala,2500,3800
Sicalis_lebruni,0,1200
Sicalis_uropygialis,2500,4800
Sicalis_taczanowskii,0,300
Sicalis_luteola,0,3900
Sicalis_columbiana,0,300
Sicalis_flaveola,0,2500
Melanodera_xanthogramma,1500,3000
Melanodera_melanodera,0,500
Phrygilus_atriceps,2400,4500
Phrygilus_punensis,2500,4800
Phrygilus_gayi,0,3000
Phrygilus_patagonicus,0,1500
Sicalis_citrina,0,2800
Conirostrum_rufum,2600,3300
Conirostrum_cinereum,0,4500
Conirostrum_tamarugense,0,2950
Conirostrum_ferrugineiventre,2500,4100
Conirostrum_sitticolor,2300,3700
Oreomanes_fraseri,2700,4850
Conirostrum_albifrons,1500,3000
Conirostrum_leucogenys,0,800
Conirostrum_speciosum,0,1300
Conirostrum_bicolor,0,200
Conirostrum_margaritae,0,300
Tangara_desmaresti,500,2200
Tangara_cyanoventris,500,1200
Tangara_cyanocephala,0,1000
Tangara_fastuosa,0,1000
