"","Species","taxon","male_mass","female_mass","male_wing","female_wing","male_tarsus","female_tarsus","male_bill","female_bill","female","male","family","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Kipps.Distance","Hand-Wing.Index","Tail.Length","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","min_elev","max_elev","species","mean_hct_female","mean_hct_male","sd_hct_female","sd_hct_male","mean_hb_female","mean_hb_male","sd_hb_female","sd_hb_male","SSDI_hct","SSDI_hb","max_sample_elev","mean_sample_elev","min_sample_elev","SSDI_mass","SSDI_bill","SSDI_wing","SSDI_tarsus"
"2119","Pycnopygius cinereus","Pycnopygius cinereus",48.8,41.2,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",26.4,13.2,4.1,5.4,28.2,22,21.9,94,"Forest",1,1,"Herbivore","Omnivore",-10.16,-0.4,-5.63,142.98,106235.8,500,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184466019417476,NA,NA,NA
"2120","Pycnopygius stictocephalus","Pycnopygius stictocephalus",38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",20.2,11.5,4.6,4.9,22.3,22.5,21.1,88.9,"Forest",2,1,"Herbivore","Omnivore",-10.73,-0.34,-5.36,141,629677.66,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2121","Melitograis gilolensis","Melitograis gilolensis",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",35.8,20.1,4.3,6.6,27.1,19.5,18.5,95.4,"Forest",1,1,"Omnivore","Omnivore",-0.92,2.65,0.87,128,22755.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2122","Philemon citreogularis","Philemon citreogularis",62.6,58.6,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",31.4,16.8,4.6,6.5,27.3,25.9,20,103.3,"Forest",2,2,"Herbivore","Omnivore",-37.71,-8.14,-23.52,141.92,3161053.22,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068259385665529,NA,NA,NA
"2123","Philemon buceroides","Philemon buceroides",101,115.35,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",42.8,22.1,6.3,9.9,36.4,23.1,16.4,129.2,"Forest",2,1,"Herbivore","Omnivore",NA,NA,NA,NA,NA,0,2170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.124403987863026,NA,NA,NA
"2124","Philemon cockerelli","Philemon cockerelli",144,165,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",43.7,25,7.4,10.2,40.4,25.6,16.6,135.5,"Forest",1,1,"Omnivore","Omnivore",-6.31,-4.12,-5.48,150.57,35335.21,0,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.127272727272727,NA,NA,NA
"2125","Philemon eichhorni","Philemon eichhorni",116,88,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",44.4,27.5,6,8,34.5,22.3,16.2,127.4,"Forest",1,1,"Herbivore","Omnivore",-4.62,-3.1,-4.09,152.69,1714.74,750,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318181818181818,NA,NA,NA
"2126","Philemon argenticeps","Philemon argenticeps",85.4,75.6,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",35.4,18.3,5.1,7.8,29.5,30,22.9,110.3,"Forest",2,2,"Omnivore","Omnivore",-21.82,-9.85,-15.68,134.04,885758.87,0,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12962962962963,NA,NA,NA
"2127","Philemon corniculatus","Philemon corniculatus",106,95.7,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",35.4,18.6,5.7,8.6,31.2,42,27.1,129,"Forest",2,1,"Omnivore","Omnivore",-39.14,-8.26,-27.22,147.27,1758116.37,0,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107628004179728,NA,NA,NA
"2128","Philemon diemenensis","Philemon diemenensis",74.5,58.3,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",35.7,19.3,5,6.7,33.9,25.2,20.3,114,"Forest",2,1,"Omnivore","Omnivore",-22.71,-20.09,-21.32,165.7,17820.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277873070325901,NA,NA,NA
"2129","Ptiloprora meekiana","Ptiloprora meekiana",18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",18.2,9.8,2.7,3.3,23,14.4,18.7,68.3,"Forest",1,1,"Carnivore","Invertivore",-10.09,-3.07,-5.53,142.31,139400.21,2200,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2130","Ptiloprora erythropleura","Ptiloprora erythropleura",23,19.4,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",20.4,11.3,2.9,3.8,22.3,16,21.1,67.4,"Forest",1,1,"Omnivore","Invertivore",-5.12,-0.44,-3.63,137.41,60498.52,1300,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185567010309278,NA,NA,NA
"2131","Ptiloprora mayri","Ptiloprora mayri",34.1,27.2,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",27.2,15.5,4.1,4.6,28.6,20.8,21.8,83.4,"Forest",1,1,"Omnivore","Invertivore",-3.24,-2.43,-2.62,139.15,1102.69,1200,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253676470588235,NA,NA,NA
"2132","Ptiloprora guisei acrophila","Ptiloprora guisei",32.3,27.6,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",25.4,13.8,3.3,4,25.8,18.2,21.5,73.9,"Forest",1,1,"Carnivore","Invertivore",-10.14,-4.87,-6.62,145.33,61859.61,1340,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170289855072464,NA,NA,NA
"2133","Ptiloprora guisei umbrosa","Ptiloprora guisei",24,20.8,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",25.4,13.8,3.3,4,25.8,18.2,21.5,73.9,"Forest",1,1,"Carnivore","Invertivore",-10.14,-4.87,-6.62,145.33,61859.61,1340,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153846153846154,NA,NA,NA
"2134","Melidectes fuscus","Melidectes fuscus",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",29.2,15.8,3.9,4.5,32.1,20.9,20.1,106.4,"Forest",1,1,"Omnivore","Omnivore",-9.5,-3.36,-5.16,141.24,70507.07,2200,3720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2135","Melidectes whitemanensis","Melidectes whitemanensis",NA,48,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",39.6,24.9,4.6,5.6,30,25.3,24.5,89,"Forest",1,2,"Omnivore","Nectarivore",-6.02,-5.02,-5.49,151.09,3172.99,900,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2136","Melidectes princeps","Melidectes princeps",NA,42,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",47.2,29,4.6,4.7,32.9,24,21.6,108.4,"Forest",2,NA,"Omnivore","Omnivore",-6.92,-5.39,-5.83,143.88,5094.69,2750,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2137","Melidectes ochromelas","Melidectes ochromelas",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",33.8,15.4,4.2,5.3,28.1,24.9,21.5,106.1,"Forest",1,1,"Omnivore","Omnivore",-10.23,-0.42,-4.85,140.76,51249.23,770,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2138","Melidectes leucostephes","Melidectes leucostephes",80,70.8,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",36.2,18.9,5.4,6,32,32,25,114.9,"Forest",1,1,"Omnivore","Omnivore",-4.03,-0.4,-1.28,133.27,11363.02,900,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129943502824859,NA,NA,NA
"2139","Melidectes belfordi","Melidectes belfordi",85.2,62.8,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",37,17.4,4.7,5.8,33.4,30.4,21.8,118,"Forest",1,1,"Omnivore","Invertivore",-10.09,-3.11,-5.51,142.18,124314.41,1400,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356687898089172,NA,NA,NA
"2140","Melidectes rufocrissalis","Melidectes rufocrissalis",81,63.3,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",40.2,20.9,5.1,6.1,33,31.7,23,109.7,"Forest",1,1,"Omnivore","Omnivore",-7.74,-4.68,-5.92,143.95,64711.26,1280,2450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279620853080569,NA,NA,NA
"2141","Melidectes torquatus","Melidectes torquatus",51,39.6,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",28.4,13.6,3.9,5.2,26.3,22.5,21.2,95.4,"Forest",2,1,"Omnivore","Invertivore",-10.24,-0.43,-5.25,141.76,95822.01,900,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287878787878788,NA,NA,NA
"2142","Melidectes sclateri","Melidectes sclateri",80.2,55.6,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",38,19.7,4.7,6.8,34,18.4,15.6,105.4,"Forest",1,2,"Omnivore","Invertivore",-10.85,-10.17,-10.55,161.81,3338.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442446043165468,NA,NA,NA
"2143","Gymnomyza aubryana","Gymnomyza aubryana",244,156,NA,NA,NA,NA,NA,NA,NA,NA,"Meliphagidae",49.9,26,6.1,10.1,50.8,31,17.9,179.1,"Forest",1,1,"Omnivore","Omnivore",-22.19,-20.33,-21.47,165.82,1055.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564102564102564,NA,NA,NA
"2144","Moho braccatus","Moho braccatus",39,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0263157894736842,NA,NA,NA
"2145","Moho bishopi","Moho bishopi",59,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404761904761905,NA,NA,NA
"2146","Moho apicalis","Moho apicalis",56,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.302325581395349,NA,NA,NA
