"","Species","taxon","male_mass","female_mass","male_wing","female_wing","male_tarsus","female_tarsus","male_bill","female_bill","female","male","family","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Kipps.Distance","Hand-Wing.Index","Tail.Length","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","min_elev","max_elev","species","mean_hct_female","mean_hct_male","sd_hct_female","sd_hct_male","mean_hb_female","mean_hb_male","sd_hb_female","sd_hb_male","SSDI_hct","SSDI_hb","max_sample_elev","mean_sample_elev","min_sample_elev","SSDI_mass","SSDI_bill","SSDI_wing","SSDI_tarsus"
"5156",NA,"Crithagra dorsostriata",17.5,16.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0638297872340426,NA,NA,NA
"5157",NA,"Crithagra flaviventris",17.5,16.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0638297872340426,NA,NA,NA
"5158",NA,"Crithagra frontalis",12.95,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0359999999999999,NA,NA,NA
"5159",NA,"Crithagra gularis",15.2,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0440251572327045,NA,NA,NA
"5160",NA,"Crithagra hyposticta",13.05,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116279069767442,NA,NA,NA
"5161",NA,"Crithagra koliensis",13.3,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0763888888888889,NA,NA,NA
"5162",NA,"Crithagra melanochroa",33.4,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0121212121212121,NA,NA,NA
"5163",NA,"Crithagra mennelli",14.975,15.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0596546310832026,NA,NA,NA
"5164",NA,"Crithagra mozambica",12.9,11.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0794979079497909,NA,NA,NA
"5165",NA,"Crithagra reichardi",15.8,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00628930817610061,NA,NA,NA
"5166",NA,"Crithagra rufobrunnea",30.3,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"5167",NA,"Crithagra scotops",15.3,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132450331125829,NA,NA,NA
"5168",NA,"Crithagra striolata",21.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,NA,NA,NA
"5169",NA,"Crithagra sulphurata",18.2,18.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0395778364116095,NA,NA,NA
"5170",NA,"Crithagra symonsi",13.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0384615384615385,NA,NA,NA
"5171",NA,"Crithagra totta",13.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0384615384615385,NA,NA,NA
"5172",NA,"Crithagra whytii",21.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,NA,NA,NA
"5173",NA,"Eophona migratoria",48.25,45.9,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",21.8,15.3,10,12.7,21.1,32.2,33.1,75.8,"Forest",2,1,"Herbivore","Omnivore",23.61,57.24,43.96,122.95,3312437.98,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0511982570806101,NA,NA,NA
"5174",NA,"Euphonia violacea",14.3,14.4,NA,NA,NA,NA,NA,NA,NA,NA,"Thraupidae",10,6.6,4.8,5.2,13.9,16.2,27.6,33.2,"Forest",2,1,"Herbivore","Frugivore",-30.24,10.84,-8.34,-51.85,4921834.31,0,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00694444444444442,NA,NA,NA
"5175",NA,"Fringilla coelebs",22.725,22.1,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",14.7,9.8,5.5,6.7,17.8,23.7,27.6,65.9,"Forest",2,2,"Omnivore","Invertivore",27.64,70.52,52.79,39.43,13931193.45,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0282805429864253,NA,NA,NA
"5176",NA,"Fringilla montifringilla",22.2,22.15,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",14.4,9.5,5.9,7.4,19,29,32.5,61.7,"Forest",1,3,"Herbivore","Omnivore",45.02,71.19,60.69,91.43,13666715.85,0,3050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00225733634311516,NA,NA,NA
"5177",NA,"Fringilla teydea",30.9,29.2,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",20.4,13.2,7.6,9.5,22.3,21.8,22.6,79.4,"Forest",2,1,"Herbivore","Granivore",27.92,28.42,28.25,-16.58,383.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0582191780821918,NA,NA,NA
"5178",NA,"Haemorhous cassinii",26.9,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0460992907801419,NA,NA,NA
"5179",NA,"Haemorhous mexicanus",20.7,21.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0166270783847982,NA,NA,NA
"5180",NA,"Haemorhous purpureus",25.55,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0179282868525896,NA,NA,NA
"5181",NA,"Hemignathus wilsoni",28.9,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066420664206642,NA,NA,NA
"5182",NA,"Hesperiphona vespertina",60.55,58.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0377035132819194,NA,NA,NA
"5183",NA,"Himatione fraithii",16,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126760563380282,NA,NA,NA
"5184",NA,"Himatione sanguinea",16,14.2,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",19.5,11.6,4,4.6,22.5,20,29,50.6,"Forest",1,1,"Herbivore","Nectarivore",18.91,22.23,20.23,-156.3,16390.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126760563380282,NA,NA,NA
"5185",NA,"Leucosticte arctoa",32.6,28.9,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",13.8,9.2,6.6,8,18.7,35.1,33.7,71.6,"Grassland",3,2,"Herbivore","Omnivore",44.9,71.09,56.5,125.4,2949415.16,0,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1280276816609,NA,NA,NA
"5186",NA,"Leucosticte atrata",29.65,27.525,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",11.5,9.2,6.4,8.2,18.9,39.4,37.5,69.1,"Grassland",3,3,"Omnivore","Omnivore",39.91,46.69,43.91,-111.47,136791.41,2600,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0772025431425976,NA,NA,NA
"5187",NA,"Leucosticte australis",32.6,28.9,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",13.6,9.4,6.3,7.9,19.5,35.4,34.3,71.4,"Grassland",3,3,"Herbivore","Granivore",35.73,40.98,38.67,-106.52,15523.5,3350,4330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1280276816609,NA,NA,NA
"5188",NA,"Leucosticte nemoricola",22.7,22.8,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",13,9.1,5.8,6.8,17.8,26.3,28.4,63,"Grassland",3,2,"Herbivore","Granivore",26.85,52.69,37.1,88.47,4065932.3,2350,5300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00438596491228076,NA,NA,NA
"5189",NA,"Leucosticte tephrocotis",35.15,28.9,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",12.9,9.9,6.4,8.1,19.6,38.6,36.9,69.8,"Grassland",3,3,"Herbivore","Omnivore",36.31,69.4,61.61,-142.55,2279904.65,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216262975778547,NA,NA,NA
"5190",NA,"Linaria cannabina",20.5,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0962566844919786,NA,NA,NA
"5191",NA,"Linaria flavirostris",15.3,14.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0303030303030304,NA,NA,NA
"5192",NA,"Linurgus olivaceus",21,19,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",15.3,10.7,6.6,8.1,18.2,15,20.8,48,"Forest",1,1,"Herbivore","Granivore",-10.83,7.58,-2.36,30.03,220044.21,1000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105263157894737,NA,NA,NA
"5193",NA,"Loxia curvirostra",41.2,41.25,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",19,16.1,6.8,11.4,16.6,36,37.6,57.3,"Forest",1,2,"Herbivore","Granivore",11.48,69.64,52.38,24.37,22671334.66,0,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00121212121212114,NA,NA,NA
"5194",NA,"Loxia leucoptera",30.45,32.7,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",19.1,13.4,4.5,8.6,15.6,31.7,35.7,58.8,"Forest",1,3,"Herbivore","Omnivore",35.76,69.45,57.95,-3.85,16098090.24,0,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0688073394495414,NA,NA,NA
"5195",NA,"Loxia megaplaga",30.45,32.7,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",20.6,14.4,5.7,10.5,17.6,26.8,31.5,60.8,"Forest",1,1,"Herbivore","Granivore",18.02,19.33,18.73,-71.22,3541.2,1500,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0688073394495414,NA,NA,NA
"5196",NA,"Loxia pytyopsittacus",53.95,53.7,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",21.3,16.6,9.2,13.7,17.4,37.6,36.6,66,"Forest",1,2,"Herbivore","Granivore",53.8,69.72,61.03,35.98,3155285.39,0,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00465549348230912,NA,NA,NA
"5197",NA,"Loxia scotica",44.6,41.8,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",20,15.3,7.4,12.1,16.9,33.2,34.5,61.5,"Forest",1,2,"Herbivore","Granivore",56.43,58.12,57.22,-3.92,13734.01,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0669856459330145,NA,NA,NA
"5198",NA,"Loxioides bailleui",38.1,37.6,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",14.4,8.8,7.1,10.1,24.2,18,20.2,65.4,"Woodland",2,1,"Herbivore","Granivore",19.73,19.91,19.81,-155.48,134.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132978723404255,NA,NA,NA
"5199",NA,"Loxops caeruleirostris",10.7,11.2,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",14.2,9.1,4.5,5.4,20.5,15.8,25.3,52.4,"Forest",1,1,"Carnivore","Invertivore",22.11,22.13,22.12,-159.43,5.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0446428571428571,NA,NA,NA
"5200",NA,"Loxops coccineus",10.6,10.4,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",13.4,8.5,3.9,4.8,20.1,14.3,23.9,47.5,"Forest",1,1,"Carnivore","Invertivore",19.15,19.85,19.46,-155.45,383.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0192307692307692,NA,NA,NA
"5201",NA,"Magumma parva",10,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0291262135922331,NA,NA,NA
"5202",NA,"Mycerobas affinis",70.5,83,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",25.7,16.8,11.8,14.9,27.4,31,25.1,89.2,"Forest",1,2,"Herbivore","Omnivore",25.02,35.83,30.02,96.37,1011882.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.150602409638554,NA,NA,NA
"5203",NA,"Mycerobas carnipes",60.075,57.025,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",25.5,16.6,13.4,16.2,25.7,32.1,28.5,94.4,"Forest",2,1,"Herbivore","Omnivore",24.32,48.32,34.69,85.65,3247977.86,1100,4600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0534853134590093,NA,NA,NA
"5204",NA,"Oreomystis bairdi",13.875,14.625,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",16.8,11,4,5.2,20.1,13.3,19.8,45.8,"Forest",1,1,"Carnivore","Invertivore",22.05,22.17,22.1,-159.57,85.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0512820512820513,NA,NA,NA
"5205",NA,"Palmeria dolei",28.8,23.6,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",22.5,16.9,5.3,6.3,31.9,23.9,26.1,72.2,"Forest",1,1,"Herbivore","Nectarivore",20.69,20.8,20.76,-156.18,57.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220338983050847,NA,NA,NA
"5206",NA,"Paroreomyza montana",14,12.3,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",13.3,9,3.2,3.5,21.3,12.2,18.7,47.4,"Forest",1,1,"Carnivore","Invertivore",20.63,20.83,20.74,-156.21,255.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138211382113821,NA,NA,NA
"5207",NA,"Pinicola enucleator",54.6,55.1,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",16.6,12.3,8.6,11.2,19.6,32.1,29.4,85.1,"Forest",1,2,"Herbivore","Omnivore",34.57,70.33,58.66,26.24,18396768.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00907441016333938,NA,NA,NA
"5208",NA,"Procarduelis nipalensis",22.5,21.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0262257696693272,NA,NA,NA
"5209",NA,"Pseudonestor xanthophrys",24.8,19.7,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",21.4,13.8,5.4,13,21.9,14.1,19.9,45.4,"Forest",1,1,"Carnivore","Invertivore",20.69,20.79,20.74,-156.15,49.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258883248730965,NA,NA,NA
"5210",NA,"Pyrrhula murina",30.9,29.3,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",12.6,9.8,9.2,10.2,20.8,21.5,25.4,71,"Woodland",2,1,"Herbivore","Granivore",37.73,37.84,37.79,-25.24,144.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0546075085324231,NA,NA,NA
"5211",NA,"Pyrrhula pyrrhula",30.9,29.3,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",13.1,8.6,8.2,9,18,22.1,24.9,68.3,"Forest",2,1,"Herbivore","Omnivore",33.14,70.4,56.29,75.68,17864017.39,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0546075085324231,NA,NA,NA
"5212",NA,"Rhodopechys alienus",37.5,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0335051546391752,NA,NA,NA
"5213",NA,"Rhodopechys sanguineus",37.5,38.8,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",12.6,10.1,7.4,10.5,18.5,38.9,37.8,60.2,"Grassland",3,2,"Herbivore","Omnivore",28.21,44.71,38.43,59.58,1786917.62,900,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0335051546391752,NA,NA,NA
"5214",NA,"Rhodospiza obsoleta",23.9,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0362903225806452,NA,NA,NA
"5215",NA,"Serinus canaria",19.75,15.3,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",12,7.1,5.1,6.6,16.6,19.8,27.7,58.3,"Woodland",2,1,"Herbivore","Granivore",27.64,39.1,30.98,-18.39,10522.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.290849673202614,NA,NA,NA
"5216",NA,"Serinus pusillus",11.55,11.25,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",9.6,6.1,4.1,5.5,13.9,21.4,29.2,51.3,"Rock",1,2,"Herbivore","Granivore",28.55,46.05,37.3,67.06,1833803.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0266666666666667,NA,NA,NA
"5217",NA,"Serinus serinus",11.6,12.65,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",9.2,5.8,4.6,5.2,13.9,20.8,29.3,46.4,"Forest",2,2,"Herbivore","Granivore",27.73,60.04,45.07,13.58,4819417.99,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08300395256917,NA,NA,NA
"5218",NA,"Serinus syriacus",12,11,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",10.1,6.1,4.5,5.6,14.4,22.3,30.1,52.8,"Woodland",2,2,"Herbivore","Granivore",30.08,34.66,32.81,35.76,7402.84,900,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,NA,NA,NA
"5219",NA,"Spinus atrata",15.85,16.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0305810397553518,NA,NA,NA
"5220",NA,"Spinus atriceps",12.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.137931034482759,NA,NA,NA
"5221",NA,"Spinus lawrencei",10.6,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0619469026548673,NA,NA,NA
"5222",NA,"Spinus psaltria",8.9,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113636363636363,NA,NA,NA
"5223",NA,"Spinus spinus",14.2,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0757575757575758,NA,NA,NA
"5224",NA,"Spinus tristis",13.1,12.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043824701195219,NA,NA,NA
"5225",NA,"Telespiza cantans",34.4,32.2,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",18.9,12.3,7.6,12.3,24.4,15.9,19.8,56.7,"Grassland",3,1,"Herbivore","Omnivore",25.75,25.78,25.77,-171.73,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0683229813664595,NA,NA,NA
"5226",NA,"Vestiaria coccinea",19.9,16.7,NA,NA,NA,NA,NA,NA,NA,NA,"Fringillidae",29.2,20.8,4.5,5.9,23.7,19.4,25.5,56.7,"Forest",1,1,"Herbivore","Nectarivore",19.1,22.2,19.93,-156.06,3813.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191616766467066,NA,NA,NA
"5227",NA,"Asthenes harterti",13.2,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0393700787401575,NA,NA,NA
"5228",NA,"Automolus ochrolaemus",35.5,34.5,NA,NA,NA,NA,NA,NA,NA,NA,"Furnariidae",22.7,15,4.8,6.4,23.5,15.1,17.4,74.8,"Forest",1,1,"Carnivore","Invertivore",-17.68,18.88,-2.68,-65.48,6428902.26,0,1650,"Automolus ochrolaemus",0.454755168,0.51911875,0.103547138318276,0.0371760446852204,16.7,18.45,1.39283882771841,1.87464282312277,0.141534580647141,0.104790419161677,1284,528.5,350,0.0289855072463768,NA,NA,NA
